78.800	20.00
79.400	32.00
83.600	3.00
92.600	2.80
94.700	3.00
96.100	4.00
100.80	2.20
102.30	7.00
106.90	3.00
109.80	6.00
110.90	13.00
111.50	1.40
112.80	8.00
113.80	7.00
114.40	2.00
116.30	1.30
119.40	1.20
123.30	8.00
125.00	1.30
138.40	6.00
144.20	20.00
144.90	1.40
145.00	5.00
146.40	40.00
146.90	9.00
147.60	9.00
148.50	3.00
149.10	21.00
149.80	4.00
150.30	2.30
150.50	17.00
151.10	3.20
151.70	4.00
154.70	4.00
155.50	6.00
159.90	3.80
164.70	3.00
165.90	6.00
166.80	90.00
167.10	9.00
170.90	2.30
171.40	20.00
171.70	18.00
174.90	4.00
175.20	0.70
176.20	1.30
176.30	80.00
176.90	6.00
179.60	3.00
180.70	8.00
181.10	1.10
181.60	4.50
183.40	2.00
186.30	1.40
187.10	1.70
188.70	1.70
191.00	1.60
191.70	20.00
194.80	9.00
197.20	11.00
197.40	4.00
198.20	11.00
199.10	6.00
204.20	4.00
211.00	55.00
217.20	6.00
217.60	4.00
217.90	2.50
222.40	17.00
223.20	1.20
224.70	5.00
225.20	3.00
225.80	7.00
227.60	6.00
229.70	9.00
234.20	3.00
236.50	5.00
237.70	6.00
237.80	7.00
238.40	24.00
239.30	6.00
239.90	1.30
239.90	22.00
240.30	3.00
241.00	7.00
242.60	1.50
243.30	12.00
250.00	6.00
251.20	0.80
253.50	5.00
257.80	5.00
258.20	10.00
258.80	2.50
259.30	50.00
261.20	4.00
263.00	3.00
263.70	7.00
264.20	2.10
264.50	2.00
265.00	3.00
266.60	90.00
268.10	6.00
270.10	1.50
274.00	10.00
275.60	30.00
279.00	12.00
279.80	2.60
281.40	8.00
282.20	14.00
283.90	0.40
284.10	0.70
284.20	1.10
284.20	4.00
284.80	2.00
291.80	6.00
293.10	17.00
294.50	2.00
295.80	16.00
296.20	5.00
298.30	0.70
298.70	2.00
299.20	3.00
301.50	5.00
305.70	6.00
307.30	0.70
308.30	5.00
310.20	2.00
314.50	7.00
315.00	3.00
318.30	5.20
318.70	5.00
319.80	1.70
320.40	3.00
321.70	3.10
326.10	4.00
327.20	7.00
330.60	13.00
331.10	1.60
333.90	14.00
337.20	4.00
338.00	11.00
340.00	3.00
340.80	4.00
343.70	1.90
343.80	9.00
345.80	1.00
347.10	20.00
349.40	8.00
350.20	2.00
351.70	26.00
352.80	2.00
352.90	7.00
354.00	13.00
356.60	20.00
357.50	1.40
358.80	1.00
359.20	2.00
359.70	5.00
361.50	1.40
366.10	4.00
367.60	1.90
369.20	3.00
370.80	10.00
372.80	9.00
373.50	1.90
373.90	2.60
374.70	4.00
377.60	3.00
377.70	0.80
